word,count
the,705
of,552
and,473
software,278
in,251
maintenance,204
2006,200
231,199
to,199
332,188
311,184
18,184
effort,175
practice,169
research,166
is,144
evolution,144
for,128
source,126
journal,110
open,109
time,104
that,100
as,97
developers,94
we,93
this,82
on,82
full,81
project,79
by,71
be,68
00,66
with,59
not,57
have,55
are,55
predicting,51
openstack,50
or,49
our,48
from,44
projects,44
model,43
developer,42
estimation,42
it,41
values,40
indirectly,39
which,39
commits,37
foss,36
yu,35
threshold,35
has,34
error,34
activity,34
number,33
all,33
been,33
survey,33
25,32
person,32
work,31
one,31
development,29
value,29
months,29
can,27
companies,26
an,26
more,25
other,25
month,25
false,24
12,24
how,24
figure,23
study,23
information,22
non,22
they,21
approach,21
used,20
measure,20
2003,20
based,20
code,20
data,19
will,19
many,19
than,18
total,18
case,18
may,18
system,17
if,17
at,17
several,17
margin,16
but,16
their,16
community,15
given,15
commit,15
do,15
rest,15
could,15
between,15
devoted,15
those,15
contributions,14
10,14
amount,14
14,14
1241,14
into,14
considered,14
part,14
goodness,14
when,14
process,13
two,13
ieee,13
there,13
also,13
analysis,13
should,13
negatives,13
where,13
acm,13
usually,13
precision,12
11,12
50,12
such,12
week,12
these,12
authors,12
while,12
engineering,12
period,12
active,12
design,11
using,11
empirical,11
different,11
so,11
obtained,11
al,11
you,11
results,11
positives,11
during,11
table,11
repository,10
19,10
15,10
population,10
per,10
floss,10
measures,10
last,10
estimations,10
was,10
six,10
hours,10
17,10
first,10
its,10
jenkins,10
classification,10
identified,10
contributors,10
see,10
obtain,10
review,9
would,9
studies,9
effect,9
13,9
accuracy,9
pages,9
provides,9
et,9
compensated,9
occasional,9
low,9
over,9
who,9
order,9
then,9
management,9
paper,9
20,9
true,9
done,9
thus,9
large,9
1217,9
org,9
identify,9
free,9
2014,8
author,8
100,8
versioning,8
tp,8
robles,8
copies,8
estimated,8
because,8
each,8
section,8
base,8
around,8
foundation,8
them,8
however,8
75,8
repositories,8
40h,8
day,8
only,8
days,8
working,7
seen,7
consider,7
90,7
what,7
201,7
hypothesis,7
barahona,7
491,7
16,7
negative,7
well,7
approx,7
traditional,7
presented,7
small,7
found,7
being,7
2009,7
representative,7
2010,7
international,7
even,7
graph,7
shows,7
performed,7
30,7
about,7
including,7
possible,7
since,7
34,6
estimating,6
semester,6
pm,6
involved,6
method,6
devel,6
naive,6
2013,6
bitergia,6
although,6
bots,6
re,6
estimate,6
consideration,6
main,6
others,6
least,6
larger,6
accurate,6
fn,6
izquierdo,6
distributed,6
calculate,6
much,6
000,6
were,6
some,6
spent,6
fee,6
capra,6
quality,5
test,5
identifying,5
provided,5
fraction,5
respondents,5
decreases,5
less,5
co,5
systems,5
margins,5
activities,5
page,5
consists,5
reasonable,5
changes,5
industrial,5
selected,5
errors,5
following,5
de,5
fp,5
share,5
company,5
fact,5
discussed,5
personal,5
global,5
offers,5
related,5
after,5
measuring,5
31,5
selection,5
ones,5
lez,5
contribution,5
validity,5
38,5
linux,5
use,5
make,5
sent,5
whole,5
compensation,5
recall,5
performs,5
relevant,5
positive,5
hired,5
economics,5
develop,5
no,5
very,5
does,5
introduced,5
known,5
observed,5
increases,4
question,4
francalanci,4
require,4
5pm,4
40,4
hence,4
real,4
2002,4
pattern,4
phases,4
gonza,4
governance,4
msr,4
best,4
permission,4
identification,4
line,4
good,4
2007,4
250,4
present,4
result,4
calculation,4
24,4
mean,4
amor,4
industry,4
permissions,4
null,4
affect,4
provide,4
21,4
way,4
2008,4
out,4
2012,4
commitment,4
approximately,4
characterize,4
32,4
most,4
numerator,4
classified,4
addition,4
second,4
ce,4
shown,4
same,4
interest,4
contribute,4
assumed,4
note,4
capiluppi,4
range,4
mail,4
assigned,4
means,4
gnome,4
uneven,4
aspects,4
es,4
assumptions,4
bot,4
nature,4
conference,4
models,4
communities,4
account,4
detailed,4
release,4
overall,4
minimum,4
merlo,4
relatively,4
29,4
contains,4
example,4
invested,4
considering,4
summary,4
without,4
transactions,4
techniques,4
threats,4
proceedings,4
ers,3
side,3
45,3
joining,3
credibility,3
copyright,3
june,3
database,3
experimental,3
further,3
proposed,3
any,3
kernel,3
allows,3
offered,3
contributor,3
india,3
presents,3
scientific,3
infer,3
recognition,3
bear,3
late,3
con,3
corresponds,3
below,3
velopers,3
becomes,3
methods,3
33,3
checked,3
profit,3
gsyc,3
22,3
formation,3
compensate,3
clear,3
wilcoxon,3
previous,3
classroom,3
patterns,3
measurements,3
37,3
every,3
set,3
idea,3
bird,3
us,3
characterizing,3
estimates,3
surveyed,3
35,3
ftware,3
05,3
merged,3
instance,3
634,3
2863,3
above,3
certain,3
ing,3
validated,3
advantage,3
zimmermann,3
9am,3
nce,3
mails,3
obtaining,3
curated,3
retrieval,3
depending,3
citation,3
978,3
become,3
oper,3
maximum,3
single,3
version,3
replication,3
feedback,3
through,3
granted,3
taken,3
discuss,3
merge,3
devote,3
2005,3
ratio,3
need,3
general,3
asked,3
populations,3
notice,3
bounded,3
sigsoft,3
takes,3
bug,3
mining,3
simple,3
commercial,3
worked,3
tn,3
sound,3
distinct,3
new,3
42,3
cause,3
recorded,3
still,3
carlos,3
evidence,3
27,3
next,3
both,3
available,3
dataset,3
address,3
inactive,3
propose,3
587,3
offer,3
under,3
almost,3
cooperate,3
smaller,3
mysql,3
box,3
detail,3
peaks,3
rejected,3
hyderabad,3
type,3
comparing,3
4503,3
current,3
call,3
difference,3
according,3
782,3
made,3
steadily,3
major,3
parameters,3
opers,3
52,3
foundations,3
mostly,3
high,3
otherwise,3
calibrate,3
costs,3
icsm,3
cases,3
follow,3
affects,3
serebrenik,2
workshop,2
constant,2
krogh,2
anbalagan,2
lists,2
application,2
ramil,2
ways,2
grex,2
tware,2
professionally,2
produce,2
devotes,2
weight,2
post,2
777,2
relative,2
works,2
package,2
due,2
89,2
challenge,2
name,2
collaboration,2
random,2
young,2
400,2
urjc,2
retrieved,2
professional,2
once,2
526,2
794,2
point,2
gregorio,2
among,2
23,2
translates,2
request,2
896,2
subject,2
hard,2
already,2
enance,2
523,2
maffulli,2
prior,2
included,2
depend,2
increasing,2
2083,2
graphic,2
modification,2
state,2
thresh,2
uk,2
released,2
future,2
intenance,2
correctly,2
unable,2
daniel,2
periods,2
stated,2
spanish,2
carefully,2
normal,2
normalize,2
